,tip_cell_activated,"tumor_diameter (sau) (range: [0.075, 0.75])","D_af_range (sau^2 / tau) (range: [0.00024375000000000004, 0.2437500000000001])","V_pT_af (1 / tau) (range: [0.008658113476736123, 12.291428953580745])","V_uc_af_range (1 / tau) (range: [0.7176, 624.0000000000002]) "
156,False,0.24375,0.103388849264797,0.326221683324916,0.7176
157,False,0.24375,0.103388849264797,0.326221683324916,3.89679868445612
158,False,0.24375,0.103388849264797,0.326221683324916,21.1608695473508
159,False,0.24375,0.103388849264797,0.326221683324916,114.910324155608
160,False,0.24375,0.103388849264797,0.326221683324916,624
161,False,0.24375,0.103388849264797,2.00243118326342,0.7176
162,False,0.24375,0.103388849264797,2.00243118326342,3.89679868445612
163,False,0.24375,0.103388849264797,2.00243118326342,21.1608695473508
164,False,0.24375,0.103388849264797,2.00243118326342,114.910324155608
165,False,0.24375,0.103388849264797,2.00243118326342,624
166,False,0.24375,0.103388849264797,12.2914289535807,114.910324155608
167,False,0.24375,0.103388849264797,12.2914289535807,624
168,False,0.24375,0.24375,0.008658113476736,0.7176
169,False,0.24375,0.24375,0.008658113476736,3.89679868445612
170,False,0.24375,0.24375,0.008658113476736,21.1608695473508
171,False,0.24375,0.24375,0.008658113476736,114.910324155608
172,False,0.24375,0.24375,0.008658113476736,624
173,False,0.24375,0.24375,0.053145689879792,0.7176
174,False,0.24375,0.24375,0.053145689879792,3.89679868445612
175,False,0.24375,0.24375,0.053145689879792,21.1608695473508
176,False,0.24375,0.24375,0.053145689879792,114.910324155608
177,False,0.24375,0.24375,0.053145689879792,624
178,False,0.24375,0.24375,0.326221683324916,0.7176
179,False,0.24375,0.24375,0.326221683324916,3.89679868445612
180,False,0.24375,0.24375,0.326221683324916,21.1608695473508
181,False,0.24375,0.24375,0.326221683324916,114.910324155608
182,False,0.24375,0.24375,0.326221683324916,624
183,False,0.24375,0.24375,2.00243118326342,0.7176
184,False,0.24375,0.24375,2.00243118326342,3.89679868445612
185,False,0.24375,0.24375,2.00243118326342,21.1608695473508
186,False,0.24375,0.24375,2.00243118326342,114.910324155608
187,False,0.24375,0.24375,2.00243118326342,624
188,False,0.24375,0.24375,12.2914289535807,0.7176
189,False,0.24375,0.24375,12.2914289535807,3.89679868445612
190,False,0.24375,0.24375,12.2914289535807,21.1608695473508
191,False,0.24375,0.24375,12.2914289535807,114.910324155608
192,False,0.24375,0.24375,12.2914289535807,624
193,False,0.4125,0.00024375,0.008658113476736,0.7176
194,False,0.4125,0.00024375,0.008658113476736,3.89679868445612
195,False,0.4125,0.00024375,0.008658113476736,21.1608695473508
196,False,0.4125,0.00024375,0.008658113476736,114.910324155608
197,False,0.4125,0.00024375,0.008658113476736,624
198,False,0.4125,0.00024375,0.053145689879792,0.7176
199,False,0.4125,0.00024375,0.053145689879792,3.89679868445612
200,False,0.4125,0.00024375,0.053145689879792,21.1608695473508
201,False,0.4125,0.00024375,0.053145689879792,114.910324155608
202,False,0.4125,0.00024375,0.053145689879792,624
203,False,0.4125,0.00024375,0.326221683324916,0.7176
204,False,0.4125,0.00024375,0.326221683324916,3.89679868445612
205,False,0.4125,0.00024375,0.326221683324916,21.1608695473508
206,False,0.4125,0.00024375,0.326221683324916,114.910324155608
207,False,0.4125,0.00024375,0.326221683324916,624
208,False,0.4125,0.00024375,2.00243118326342,3.89679868445612
209,False,0.4125,0.00024375,2.00243118326342,21.1608695473508
210,False,0.4125,0.00024375,2.00243118326342,114.910324155608
211,False,0.4125,0.00024375,2.00243118326342,624
212,False,0.4125,0.00024375,12.2914289535807,3.89679868445612
213,False,0.4125,0.00024375,12.2914289535807,21.1608695473508
214,False,0.4125,0.00024375,12.2914289535807,114.910324155608
215,False,0.4125,0.00024375,12.2914289535807,624
216,False,0.4125,0.01033888492648,0.008658113476736,0.7176
217,False,0.4125,0.01033888492648,0.008658113476736,3.89679868445612
218,False,0.4125,0.01033888492648,0.008658113476736,21.1608695473508
219,False,0.4125,0.01033888492648,0.008658113476736,114.910324155608
220,False,0.4125,0.01033888492648,0.008658113476736,624
221,False,0.4125,0.01033888492648,0.053145689879792,0.7176
222,False,0.4125,0.01033888492648,0.053145689879792,3.89679868445612
223,False,0.4125,0.01033888492648,0.053145689879792,21.1608695473508
224,False,0.4125,0.01033888492648,0.053145689879792,114.910324155608
